open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1560343080000,7962.85000000,7963.73000000,7951.11000000,7956.84000000,49.75529200,1560343139999,395907.13348640,436,23.62346000,187994.24276033,0
1560343140000,7955.07000000,7958.81000000,7951.00000000,7957.01000000,29.69693100,1560343199999,236239.33767140,295,22.68216700,180445.39687397,0
1560343200000,7957.42000000,7970.09000000,7955.28000000,7969.01000000,20.75692300,1560343259999,165247.31170314,249,16.66537900,132687.04271043,0
1560343260000,7969.01000000,7972.10000000,7961.61000000,7971.13000000,14.24919800,1560343319999,113557.00024108,181,9.75438800,77739.27289206,0
1560343320000,7971.13000000,7973.86000000,7959.75000000,7963.02000000,11.95093400,1560343379999,95202.58958031,170,7.61992000,60702.16242223,0
1560343380000,7961.83000000,7968.74000000,7952.04000000,7966.67000000,24.31853700,1560343439999,193527.40254148,207,9.15247200,72867.17373660,0
1560343440000,7966.67000000,7969.86000000,7956.14000000,7958.21000000,14.94645800,1560343499999,119025.41931443,175,7.20426400,57372.76138956,0
1560343500000,7956.60000000,7968.26000000,7956.60000000,7964.31000000,9.68874200,1560343559999,77144.01066751,165,5.83864000,46488.72016297,0
1560343560000,7964.67000000,7968.79000000,7963.92000000,7968.35000000,10.23899200,1560343619999,81565.47846169,127,5.06249500,40331.42994335,0
1560343620000,7967.79000000,7969.85000000,7966.72000000,7969.70000000,17.21466500,1560343679999,137167.50732722,110,6.85880900,54654.88799619,0
1560343680000,7968.66000000,7969.47000000,7962.21000000,7968.77000000,11.50021600,1560343739999,91594.78208421,148,8.78076100,69934.66823031,0
1560343740000,7967.64000000,7971.30000000,7966.96000000,7971.00000000,21.26523100,1560343799999,169464.64939556,135,13.86697800,110509.27103174,0
1560343800000,7969.88000000,7977.79000000,7968.62000000,7970.92000000,12.89529000,1560343859999,102805.66922527,200,6.55907500,52290.90731424,0
1560343860000,7970.92000000,7976.17000000,7968.86000000,7974.24000000,16.80667500,1560343919999,133973.17992640,168,6.97620000,55616.08540431,0
1560343920000,7976.21000000,7976.99000000,7968.30000000,7969.59000000,17.30421700,1560343979999,137968.14619093,226,3.74905100,29896.12071931,0
1560343980000,7969.59000000,7974.42000000,7965.84000000,7969.27000000,14.62140000,1560344039999,116529.04222822,189,5.88469700,46901.73252330,0
1560344040000,7966.26000000,7969.02000000,7963.02000000,7963.02000000,27.25586900,1560344099999,217100.60118529,206,6.17895200,49221.40801582,0
1560344100000,7961.67000000,7963.80000000,7956.79000000,7962.69000000,11.00243800,1560344159999,87581.89512431,183,8.21477900,65392.46559086,0
1560344160000,7963.79000000,7980.00000000,7960.33000000,7978.00000000,24.88999300,1560344219999,198465.82759633,292,13.57404300,108212.65783290,0
1560344220000,7975.87000000,7983.26000000,7974.11000000,7977.31000000,23.50431700,1560344279999,187543.61589496,272,10.61185300,84675.09343972,0
1560344280000,7977.31000000,7980.57000000,7975.33000000,7976.95000000,7.79829600,1560344339999,62211.76846126,199,4.94253700,39431.68556856,0
1560344340000,7976.98000000,7979.17000000,7973.13000000,7974.51000000,10.23028300,1560344399999,81593.34467674,156,5.59539500,44629.20810568,0
1560344400000,7973.71000000,7982.52000000,7973.70000000,7980.00000000,20.64634900,1560344459999,164739.91686236,210,11.21011500,89444.69458384,0
1560344460000,7980.00000000,7983.23000000,7980.00000000,7982.37000000,11.85325200,1560344519999,94604.61108575,143,4.68588400,37401.08434054,0
1560344520000,7982.74000000,7984.61000000,7978.61000000,7982.56000000,12.12819300,1560344579999,96797.46870621,177,5.72902200,45724.99589978,0
1560344580000,7983.08000000,7985.01000000,7982.56000000,7983.56000000,7.96774000,1560344639999,63616.12787471,191,5.11325800,40826.22411768,0
1560344640000,7983.56000000,7985.71000000,7981.52000000,7985.69000000,10.00932100,1560344699999,79911.19587798,191,5.97879700,47732.46044815,0
1560344700000,7985.68000000,7986.20000000,7982.67000000,7984.79000000,7.71019600,1560344759999,61563.32554202,125,4.08721200,32636.85784271,0
1560344760000,7984.79000000,7985.56000000,7980.53000000,7982.35000000,10.62195400,1560344819999,84801.01401222,138,4.26676500,34060.84858987,0
1560344820000,7983.23000000,7988.00000000,7982.69000000,7988.00000000,8.95877300,1560344879999,71540.55396871,146,6.51236100,52005.60154309,0
1560344880000,7988.02000000,7990.31000000,7985.58000000,7986.40000000,11.53556800,1560344939999,92143.13156830,150,7.43025200,59354.18708457,0
1560344940000,7986.28000000,7990.18000000,7986.28000000,7990.15000000,12.00972700,1560344999999,95942.88644157,129,8.80994100,70379.55553502,0
1560345000000,7988.97000000,7993.06000000,7988.01000000,7991.65000000,14.36961000,1560345059999,114832.98929814,194,8.71062800,69608.90920497,0
1560345060000,7991.65000000,7991.79000000,7976.60000000,7980.61000000,11.47135300,1560345119999,91600.47640119,236,3.48747500,27845.39699111,0
1560345120000,7980.67000000,7985.00000000,7978.36000000,7980.43000000,11.65608300,1560345179999,93040.31131017,159,8.77775600,70067.04769508,0
1560345180000,7979.44000000,7981.61000000,7974.64000000,7979.50000000,14.03728500,1560345239999,112006.89679013,200,5.33061300,42533.61073841,0
1560345240000,7977.31000000,7979.41000000,7967.96000000,7968.59000000,13.92678900,1560345299999,111050.33860183,205,9.28890700,74063.89062680,0
1560345300000,7968.37000000,7970.47000000,7962.76000000,7965.48000000,6.00454100,1560345359999,47839.41895786,175,3.09916800,24693.84397590,0
1560345360000,7965.64000000,7971.66000000,7962.60000000,7966.00000000,5.46012900,1560345419999,43499.27353935,125,2.86925400,22860.13360113,0
1560345420000,7966.44000000,7966.83000000,7958.00000000,7964.48000000,12.25471700,1560345479999,97579.22756036,239,7.31702000,58260.40257565,0
1560345480000,7964.41000000,7972.74000000,7964.41000000,7968.44000000,10.84034500,1560345539999,86376.19343086,188,7.92915800,63178.06175160,0
1560345540000,7968.40000000,7972.75000000,7966.00000000,7966.00000000,10.34852100,1560345599999,82472.13031688,161,3.83728600,30582.60752541,0
